HDI rank;Country;Human Development Index (HDI) ;Life expectancy at birth;Expected years of schooling;Mean years of schooling;Gross national income (GNI) per capita;GNI per capita rank minus HDI rank;HDI_rank_2020;Development_group
67;Albania;0,796;76,5;14,4;11,3;14 131;17;68;HIGH HUMAN DEVELOPMENT
68;Bulgaria;0,795;71,8;13,9;11,4;23 079;-8;64;HIGH HUMAN DEVELOPMENT
68;Grenada;0,795;74,9;18,7;9,0;13 484;18;70;HIGH HUMAN DEVELOPMENT
70;Barbados;0,790;77,6;15,7;9,9;12 306;26;71;HIGH HUMAN DEVELOPMENT
71;Antigua and Barbuda;0,788;78,5;14,2;9,3;16 792;2;71;HIGH HUMAN DEVELOPMENT
72;Seychelles;0,785;71,3;13,9;10,3;25 831;-17;69;HIGH HUMAN DEVELOPMENT
73;Sri Lanka;0,782;76,4;14,1;10,8;12 578;21;75;HIGH HUMAN DEVELOPMENT
74;Bosnia and Herzegovina;0,780;75,3;13,8;10,5;15 242;4;73;HIGH HUMAN DEVELOPMENT
75;Saint Kitts and Nevis;0,777;71,7;15,4;8,7;23 358;-16;76;HIGH HUMAN DEVELOPMENT
76;Iran (Islamic Republic of);0,774;73,9;14,6;10,6;13 001;15;77;HIGH HUMAN DEVELOPMENT
77;Ukraine;0,773;71,6;15,0;11,1;13 256;11;78;HIGH HUMAN DEVELOPMENT
78;North Macedonia;0,770;73,8;13,6;10,2;15 918;-3;79;HIGH HUMAN DEVELOPMENT
79;China;0,768;78,2;14,2;7,6;17 504;-8;82;HIGH HUMAN DEVELOPMENT
80;Dominican Republic;0,767;72,6;14,5;9,3;17 990;-11;82;HIGH HUMAN DEVELOPMENT
80;Moldova (Republic of);0,767;68,8;14,4;11,8;14 875;-1;81;HIGH HUMAN DEVELOPMENT
80;Palau;0,767;66,0;15,8;12,5;13 819;5;80;HIGH HUMAN DEVELOPMENT
83;Cuba;0,764;73,7;14,4;12,5;7 879;37;73;HIGH HUMAN DEVELOPMENT
84;Peru;0,762;72,4;15,4;9,9;12 246;13;85;HIGH HUMAN DEVELOPMENT
85;Armenia;0,759;72,0;13,1;11,3;13 158;4;87;HIGH HUMAN DEVELOPMENT
86;Mexico;0,758;70,2;14,9;9,2;17 896;-16;88;HIGH HUMAN DEVELOPMENT
87;Brazil;0,754;72,8;15,6;8,1;14 370;-5;86;HIGH HUMAN DEVELOPMENT
88;Colombia;0,752;72,8;14,4;8,9;14 384;-7;88;HIGH HUMAN DEVELOPMENT
89;Saint Vincent and the Grenadines;0,751;69,6;14,7;10,8;11 961;11;82;HIGH HUMAN DEVELOPMENT
90;Maldives;0,747;79,9;12,6;7,3;15 448;-14;97;HIGH HUMAN DEVELOPMENT
91;Algeria;0,745;76,4;14,6;8,1;10 800;13;96;HIGH HUMAN DEVELOPMENT
91;Azerbaijan;0,745;69,4;13,5;10,5;14 257;-8;100;HIGH HUMAN DEVELOPMENT
91;Tonga;0,745;71,0;16,0;11,4;6 822;34;90;HIGH HUMAN DEVELOPMENT
91;Turkmenistan;0,745;69,3;13,2;11,3;13 021;-1;93;HIGH HUMAN DEVELOPMENT
95;Ecuador;0,740;73,7;14,6;8,8;10 312;11;99;HIGH HUMAN DEVELOPMENT
96;Mongolia;0,739;71,0;15,0;9,4;10 588;9;90;HIGH HUMAN DEVELOPMENT
97;Egypt;0,731;70,2;13,8;9,6;11 732;4;97;HIGH HUMAN DEVELOPMENT
97;Tunisia;0,731;73,8;15,4;7,4;10 258;10;94;HIGH HUMAN DEVELOPMENT
99;Fiji;0,730;67,1;14,7;10,9;9 980;9;94;HIGH HUMAN DEVELOPMENT
99;Suriname;0,730;70,3;13,0;9,8;12 672;-6;92;HIGH HUMAN DEVELOPMENT
101;Uzbekistan;0,727;70,9;12,5;11,9;7 917;18;107;HIGH HUMAN DEVELOPMENT
102;Dominica;0,720;72,8;13,3;8,1;11 488;0;106;HIGH HUMAN DEVELOPMENT
102;Jordan;0,720;74,3;10,6;10,4;9 924;8;104;HIGH HUMAN DEVELOPMENT
104;Libya;0,718;71,9;12,9;7,6;15 336;-27;117;HIGH HUMAN DEVELOPMENT
105;Paraguay;0,717;70,3;13,0;8,9;12 349;-10;100;HIGH HUMAN DEVELOPMENT
106;Palestine, State of;0,715;73,5;13,4;9,9;6 583;21;109;HIGH HUMAN DEVELOPMENT
106;Saint Lucia;0,715;71,1;12,9;8,5;12 048;-7;104;HIGH HUMAN DEVELOPMENT
108;Guyana;0,714;65,7;12,5;8,6;22 465;-47;107;HIGH HUMAN DEVELOPMENT
109;South Africa;0,713;62,3;13,6;11,4;12 948;-17;102;HIGH HUMAN DEVELOPMENT
110;Jamaica;0,709;70,5;13,4;9,2;8 834;4;110;HIGH HUMAN DEVELOPMENT
111;Samoa;0,707;72,8;12,4;11,4;5 308;24;112;HIGH HUMAN DEVELOPMENT
112;Gabon;0,706;65,8;13,0;9,4;13 367;-25;113;HIGH HUMAN DEVELOPMENT
112;Lebanon;0,706;75,0;11,3;8,7;9 526;-1;103;HIGH HUMAN DEVELOPMENT
114;Indonesia;0,705;67,6;13,7;8,6;11 466;-11;116;HIGH HUMAN DEVELOPMENT
115;Viet Nam;0,703;73,6;13,0;8,4;7 867;6;113;HIGH HUMAN DEVELOPMENT
